game_id,team,uni_id,backbone,belly_button,back_shoulder_blade,belt,pants,number,helmet,socks
2018_11_KC_LA,KC,2018_KC_A.PNG,#fefefe,#ffffff,#ffffff,#ffffff,#fefefe,#c70416,#c80417,#c70416
2018_12_CHI_DET,CHI,2018_CHI_C.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#fefefe,#03182e,#ffffff
2018_12_WAS_DAL,WAS,2018_WAS_H.png,#800000,#800000,#800000,#ffffff,#fefefe,#fefefe,#800000,#800000
2018_12_ATL_NO,ATL,2018_ATL_A.PNG,#ffffff,#ffffff,#fefefe,#ffffff,#ffffff,#000000,#000000,#000000
2018_12_JAX_BUF,JAX,2018_JAX_E.PNG,#000000,#000000,#000000,#000000,#000000,#fefefe,#000000,#000000
2018_12_SEA_CAR,SEA,2018_SEA_C2.PNG,#fefefe,#ffffff,#ffffff,#212639,#24293c,#27445c,#0c2135,#24283b
2018_12_CLE_CIN,CLE,2018_CLE_E.PNG,#ffffff,#ffffff,#fefefe,#ff3a00,#ff3d00,#d23500,#ff3d00,#311d00
2018_12_NE_NYJ,NE,2018_NE_A.PNG,#fefefe,#ffffff,#ffffff,#02152c,#03182f,#03182f,#b6bec8,#ffffff
2018_12_NYG_PHI,NYG,2018_NYG_A.PNG,#fefefe,#ffffff,#ffffff,#aab3ac,#a9b3ac,#b20000,#000062,#b30000
2018_12_OAK_BAL,OAK,2018_OAK_A.PNG,#fefefe,#ffffff,#ffffff,#949494,#d1d7de,#000000,#bdc5d0,#000000
2018_12_SF_TB,SF,2018_SF_C.png,#bb0915,#bb0815,#bb0915,#d2ad7c,#d1ad7d,#fefefe,#bf9e79,#bb0915
2018_12_ARI_LAC,ARI,2018_ARZ_A.png,#ffffff,#ffffff,#c9596f,#ffffff,#ffffff,#797979,#ffffff,#ad0023
2018_12_MIA_IND,MIA,2018_MIA_B.png,#fefefe,#ffffff,#ffffff,#008c97,#008d97,#008c96,#ffffff,#008c96
2018_12_PIT_DEN,PIT,2018_PIT_A.PNG,#fefefe,#ffffff,#ffffff,#fdd736,#fcd638,#fefefe,#000000,#000000
